;com;prot
1;Syringaresinol;YP_009725307.1
1;Syringaresinol;K4LC41_9BETC
1;Syringaresinol;PLpro_SARS-CoV-2
1;Syringaresinol;6LU7:A
0;Syringaresinol;6M0J:A
0;Syringaresinol;6LZG:A
0;Syringaresinol;6VSB:A
0;Syringaresinol;6VXX:A
1;Amaranthine;YP_009725307.1
0;Amaranthine;K4LC41_9BETC
1;Amaranthine;PLpro_SARS-CoV-2
1;Amaranthine;6LU7:A
0;Amaranthine;6M0J:A
0;Amaranthine;6LZG:A
0;Amaranthine;6VSB:A
0;Amaranthine;6VXX:A
1;Methylthio;YP_009725307.1
1;Methylthio;K4LC41_9BETC
1;Methylthio;PLpro_SARS-CoV-2
1;Methylthio;6LU7:A
0;Methylthio;6M0J:A
0;Methylthio;6LZG:A
0;Methylthio;6VSB:A
0;Methylthio;6VXX:A
1;arabinopyrano;YP_009725307.1
1;arabinopyrano;K4LC41_9BETC
1;arabinopyrano;PLpro_SARS-CoV-2
1;arabinopyrano;6LU7:A
0;arabinopyrano;6M0J:A
0;arabinopyrano;6LZG:A
0;arabinopyrano;6VSB:A
0;arabinopyrano;6VXX:A
1;Peonidin-3;YP_009725307.1
0;Peonidin-3;K4LC41_9BETC
1;Peonidin-3;PLpro_SARS-CoV-2
1;Peonidin-3;6LU7:A
0;Peonidin-3;6M0J:A
0;Peonidin-3;6LZG:A
0;Peonidin-3;6VSB:A
0;Peonidin-3;6VXX:A
1;Quercetin-3;YP_009725307.1
0;Quercetin-3;K4LC41_9BETC
1;Quercetin-3;PLpro_SARS-CoV-2
1;Quercetin-3;6LU7:A
0;Quercetin-3;6M0J:A
0;Quercetin-3;6LZG:A
0;Quercetin-3;6VSB:A
0;Quercetin-3;6VXX:A
1;Theviridoside;YP_009725307.1
1;Theviridoside;K4LC41_9BETC
1;Theviridoside;PLpro_SARS-CoV-2
1;Theviridoside;6LU7:A
0;Theviridoside;6M0J:A
0;Theviridoside;6LZG:A
0;Theviridoside;6VSB:A
0;Theviridoside;6VXX:A
1;Sinigrin;YP_009725307.1
1;Sinigrin;K4LC41_9BETC
1;Sinigrin;PLpro_SARS-CoV-2
